2012-11-07 10:34:57 +0000	working
2012-11-07 10:35:04 +0000	working
2012-11-07 10:36:05 +0000	playing
2012-11-07 10:36:10 +0000	working
2012-11-07 10:38:31 +0000	working
2012-11-07 10:38:53 +0000	working
2012-11-07 10:38:55 +0000	working
2012-11-07 10:40:28 +0000	working
2012-11-07 10:41:37 +0000	playing
2012-11-07 10:43:03 +0000	working
2012-11-07 10:43:06 +0000	playing
2012-11-07 10:56:07 +0000	working
2012-11-07 11:07:38 +0000	playing
2012-11-07 11:08:19 +0000	working
2012-11-07 11:27:24 +0000	playing
2012-11-08 10:39:16 +0000	working
2012-11-08 15:02:03 +0000	playing
2012-11-08 16:03:16 +0000	working
2012-11-09 09:16:51 +0000	playing
2012-11-09 10:08:39 +0000	working
2012-11-09 15:09:10 +0000	playing
2012-11-12 09:29:48 +0000	working
2012-11-12 13:13:13 +0000	playing
2012-11-13 09:45:35 +0000	working
2012-11-13 11:25:38 +0000	playing
2012-11-13 13:39:56 +0000	working
2012-11-13 15:51:28 +0000	playing
2012-11-16 11:12:56 +0000	working
